,media_produtos_por_pedido,media_valor_pedido_sem_frete,dias_atividade,cluster
848,1.0,15.0,1,0
849,1.08,117.31,255,0
850,1.06,74.12,163,0
851,1.0,37.5,37,0
852,1.0,109.0,1,0
853,1.23,21.92,393,1
854,1.12,162.19,486,1
855,1.0,50.0,1,0
856,1.0,73.0,1,0
857,1.21,249.62,665,1
858,1.0,52.0,113,0
859,1.0,56.67,20,0
860,1.0,24.0,71,0
861,2.02,269.73,331,1
862,1.33,122.89,97,0
863,1.0,40.0,1,0
864,1.38,575.54,361,1
865,1.05,480.01,325,1
866,1.34,51.74,353,1
867,1.05,98.05,338,1
868,1.0,139.33,65,0
869,1.0,151.07,111,0
870,1.07,136.22,203,0
871,1.87,136.2,267,0
872,1.5,179.33,84,0
873,1.0,53.4,361,1
874,1.62,147.62,685,1
875,1.0,42.0,1,0
876,1.0,1474.0,95,2
877,1.0,1350.0,251,2
878,1.0,67.5,104,0
879,1.12,90.38,72,0
880,1.5,277.0,45,0
881,1.1,312.97,374,1
882,1.02,67.6,318,1
883,1.0,45.0,1,0
884,1.17,113.0,141,0
885,1.09,141.38,356,1
886,1.03,118.58,474,1
887,1.0,1200.0,43,2
888,1.27,56.21,401,1
889,1.5,168.5,280,1
890,1.4,49.2,90,0
891,1.0,141.18,163,0
892,1.0,110.0,1,0
893,1.0,170.0,1,0
894,1.14,109.0,94,0
895,1.18,50.0,238,0
896,1.04,204.25,383,1
897,1.07,504.14,526,1
898,1.25,52.25,371,1
899,1.0,45.0,1,0
900,3.0,138.0,1,0
901,1.0,137.1,95,0
902,1.0,35.0,1,0
903,1.0,241.6,135,0
904,1.33,87.0,467,1
905,1.29,37.29,99,0
906,1.0,200.0,1,0
907,1.0,250.0,75,0
908,1.0,190.0,1,0
909,1.0,80.0,1,0
910,1.0,58.67,28,0
911,1.0,222.38,97,0
912,1.08,109.49,537,1
913,1.0,65.0,1,0
914,1.12,79.53,146,0
915,1.0,95.0,1,0
916,1.1,109.0,94,0
917,1.5,58.5,23,0
918,1.08,128.08,174,0
919,2.5,162.0,82,0
920,1.03,185.61,376,1
921,1.0,8.0,1,0
922,1.05,53.82,671,1
923,1.0,187.22,436,1
924,1.0,25.0,1,0
925,1.09,106.88,408,1
926,1.14,111.86,91,0
927,1.33,53.33,66,0
928,1.0,270.0,1,0
929,1.33,105.67,128,0
930,1.0,16.12,423,1
931,1.0,41.75,120,0
932,1.06,147.14,146,0
933,1.0,1099.0,1,0
934,1.0,23.53,176,0
935,1.0,39.5,27,0
936,1.12,232.88,69,0
937,1.0,390.0,1,0
938,1.86,978.57,136,0
939,1.0,63.43,279,1
940,1.0,469.73,266,1
941,1.0,436.67,195,0
942,1.0,62.0,1,0
943,1.0,290.0,1,0
944,1.0,148.33,476,1
945,1.11,110.57,505,1
946,1.0,32.29,178,0
947,1.14,42.0,132,0
948,1.05,183.1,339,1
949,1.0,45.33,6,0
950,1.0,233.33,16,0
951,1.01,168.64,513,1
952,1.0,39.0,1,0
953,1.0,29.38,155,0
954,1.0,69.0,1,0
955,1.09,168.84,566,1
956,1.08,130.83,341,1
957,1.05,162.38,495,1
958,1.0,708.0,29,0
959,1.28,14.88,287,1
960,1.0,30.9,112,0
961,1.0,604.64,462,1
962,1.09,117.36,108,0
963,1.1,64.5,527,1
964,1.0,113.92,109,0
965,1.02,144.19,346,1
966,1.06,195.38,228,0
967,1.1,33.9,44,0
968,1.15,71.48,114,0
969,1.33,508.33,56,0
970,1.0,92.5,68,0
971,2.5,89.5,120,0
972,1.04,102.83,482,1
973,1.15,39.1,236,0
974,1.2,32.95,285,1
975,1.0,70.5,31,0
976,1.06,39.86,252,0
977,1.18,51.41,555,1
978,1.05,95.68,397,1
979,1.71,56.88,539,1
980,1.0,378.0,10,0
981,1.08,109.12,268,1
982,1.21,95.95,685,1
983,1.34,104.06,214,0
984,1.5,233.1,112,0
985,1.0,52.7,141,0
986,1.15,108.68,581,1
987,1.31,210.44,311,1
988,1.02,149.86,399,1
989,1.0,75.0,1,0
990,1.25,162.0,54,0
991,1.0,56.0,3,0
992,1.09,109.14,524,1
993,1.09,70.73,242,0
994,1.17,270.17,103,0
995,1.0,89.0,421,1
996,1.0,162.2,223,0
997,1.15,46.54,566,1
998,1.33,34.67,125,0
999,1.0,393.89,274,1
1000,1.12,31.5,56,0
1001,1.0,88.0,1,0
1002,1.26,52.32,233,0
1003,1.0,45.0,1,0
1004,1.0,654.5,83,0
1005,1.0,313.12,316,1
1006,1.21,98.95,368,1
1007,2.5,113.0,176,0
1008,1.12,160.25,377,1
1009,1.0,80.91,238,0
1010,1.14,95.12,369,1
1011,1.0,25.0,1,0
1012,1.25,70.5,99,0
1013,1.03,240.52,485,1
1014,1.0,160.05,263,0
1015,1.06,27.41,291,1
1016,1.04,33.97,220,0
1017,3.17,105.0,69,0
1018,1.0,56.5,93,0
1019,1.0,400.0,49,0
1020,1.4,69.44,217,0
1021,1.1,105.8,36,0
1022,1.0,274.56,282,1
1023,1.0,68.0,39,0
1024,1.11,64.0,553,1
1025,1.12,158.8,573,1
1026,1.23,113.06,348,1
1027,1.22,41.23,559,1
1028,1.5,76.33,145,0
1029,1.0,134.88,214,0
1030,3.4,94.2,147,0
1031,1.0,230.0,1,0
1032,1.0,310.55,119,0
1033,1.14,74.0,345,1
1034,1.15,97.54,279,1
1035,1.0,200.0,1,0
1036,1.05,177.67,333,1
1037,1.14,187.14,163,0
1038,1.0,209.0,30,0
1039,1.08,193.38,122,0
1040,1.57,140.31,225,0
1041,1.01,72.3,119,0
1042,1.12,157.0,182,0
1043,1.0,163.0,113,0
1044,1.17,77.83,257,0
1045,4.0,354.0,129,0
1046,1.2,118.8,176,0
1047,1.0,174.6,106,0
1048,1.06,312.52,392,1
1049,1.08,18.71,299,1
1050,1.0,133.8,190,0
1051,1.0,47.0,1,0
1052,1.03,83.23,435,1
1053,1.0,170.0,59,0
1054,1.0,103.0,41,0
1055,1.31,103.49,255,0
1056,1.0,228.0,105,0
1057,1.0,31.17,188,0
1058,1.62,40.25,205,0
1059,1.24,176.12,174,0
1060,1.91,130.91,133,0
1061,1.1,47.77,314,1
1062,1.17,104.0,355,1
1063,1.0,333.0,39,0
1064,1.09,61.22,284,1
1065,1.0,240.09,361,1
1066,1.13,127.98,113,0
1067,1.0,60.0,67,0
1068,1.09,189.63,403,1
1069,1.07,111.96,462,1
1070,1.02,201.99,529,1
1071,1.0,130.0,93,0
1072,1.6,50.4,75,0
1073,1.0,35.0,1,0
1074,1.23,107.55,358,1
1075,1.22,40.78,89,0
1076,2.0,110.67,181,0
1077,1.84,47.04,558,1
1078,1.05,44.47,369,1
1079,1.07,54.6,476,1
1080,1.0,293.0,423,1
1081,1.01,520.34,645,1
1082,1.0,96.33,122,0
1083,1.0,46.0,1,0
1084,1.1,42.61,457,1
1085,1.43,73.57,108,0
1086,1.24,158.29,292,1
1087,1.0,66.67,46,0
1088,1.5,19.5,1,0
1089,1.05,117.33,85,0
1090,1.0,294.0,1,0
1091,1.0,94.0,1,0
1092,1.0,18.75,148,0
1093,1.0,65.0,1,0
1094,1.62,162.77,474,1
1095,1.06,140.54,79,0
1096,1.0,164.0,67,0
1097,1.0,25.0,1,0
1098,1.0,51.5,93,0
1099,1.2,49.13,383,1
1100,1.0,575.0,171,0
1101,1.0,35.0,38,0
1102,1.0,149.0,1,0
1103,1.0,13.0,7,0
1104,1.17,75.72,456,1
1105,1.09,46.36,159,0
1106,1.05,136.59,498,1
1107,1.5,30.0,22,0
1108,1.06,214.88,408,1
1109,1.15,123.1,185,0
1110,1.0,179.0,288,1
1111,1.12,103.97,470,1
1112,1.0,118.23,341,1
1113,1.17,150.5,97,0
1114,1.11,320.11,415,1
1115,1.06,74.97,75,0
1116,1.09,135.82,674,1
1117,1.0,380.0,110,0
1118,1.12,81.42,271,1
1119,2.56,118.22,111,0
1120,1.0,230.0,1,0
1121,1.07,100.96,500,1
1122,1.08,51.92,264,0
1123,2.0,200.0,1,0
1124,1.05,229.93,257,0
1125,1.0,90.0,206,0
1126,1.15,69.26,215,0
1127,1.07,192.29,324,1
1128,1.05,49.82,338,1
1129,1.0,31.25,73,0
1130,1.15,34.8,326,1
1131,1.06,126.47,337,1
1132,1.0,1875.67,35,2
1133,1.0,161.0,3,0
1134,1.0,73.0,54,0
1135,1.0,104.0,85,0
1136,1.03,105.05,506,1
1137,1.65,277.83,494,1
1138,1.4,57.87,148,0
1139,1.0,50.0,1,0
1140,1.0,130.0,1,0
1141,1.1,100.03,326,1
1142,1.0,153.93,93,0
1143,1.0,1271.67,292,2
1144,1.0,108.75,123,0
1145,1.5,774.75,161,0
1146,1.0,109.0,1,0
1147,1.1,47.38,80,0
1148,1.0,486.67,163,0
1149,1.0,48.5,279,1
1150,1.12,118.38,511,1
1151,1.13,60.5,300,1
1152,1.0,160.6,49,0
1153,1.54,168.13,240,0
1154,2.0,152.25,113,0
1155,1.18,153.06,376,1
1156,1.09,59.52,501,1
1157,1.01,530.62,540,1
1158,1.0,338.5,9,0
1159,1.03,30.47,685,1
1160,3.0,72.0,1,0
1161,1.21,19.63,495,1
1162,1.3,47.56,222,0
1163,1.0,136.6,308,1
1164,1.65,103.06,283,1
1165,1.0,166.57,117,0
1166,1.0,72.53,95,0
1167,1.0,601.88,242,0
1168,1.0,90.6,272,1
1169,1.0,87.33,78,0
1170,1.0,39.67,145,0
1171,1.15,103.23,183,0
1172,1.33,70.0,245,0
1173,1.07,57.07,119,0
1174,1.0,754.1,558,1
1175,1.14,93.57,135,0
1176,1.18,91.53,688,1
1177,1.67,70.0,51,0
1178,1.0,847.83,517,1
1179,1.0,176.0,1,0
1180,1.21,562.93,87,0
1181,15.0,765.0,1,2
1182,1.0,10.0,1,0
1183,1.22,149.79,214,0
1184,1.17,943.0,450,1
1185,1.0,335.0,1,0
1186,1.0,748.9,317,1
1187,1.07,134.98,457,1
1188,1.0,47.5,73,0
1189,1.0,113.17,332,1
1190,1.33,229.0,65,0
1191,1.09,198.0,171,0
1192,1.0,104.25,32,0
1193,1.04,304.13,327,1
1194,1.0,132.11,224,0
1195,1.07,44.4,350,1
1196,1.4,90.8,61,0
1197,1.32,216.78,390,1
1198,3.0,39.0,196,0
1199,1.0,94.0,1,0
1200,1.0,222.0,67,0
1201,1.33,60.33,30,0
1202,1.0,35.12,394,1
1203,1.05,134.19,359,1
1204,1.05,101.12,456,1
1205,1.38,73.88,209,0
1206,1.0,179.0,1,0
1207,1.0,841.25,90,0
1208,1.0,136.83,185,0
1209,1.02,51.26,423,1
1210,1.0,72.94,291,1
1211,1.0,785.33,228,0
1212,1.0,67.33,98,0
1213,1.21,127.47,381,1
1214,1.0,58.91,213,0
1215,1.2,47.98,563,1
1216,1.06,217.49,404,1
1217,1.14,107.56,543,1
1218,1.67,27.0,60,0
1219,1.0,297.5,419,1
1220,1.09,71.2,92,0
1221,1.1,24.33,495,1
1222,1.0,172.38,289,1
1223,1.17,166.83,161,0
1224,1.07,298.49,562,1
1225,2.0,57.8,129,0
1226,1.08,151.21,372,1
1227,1.0,223.05,393,1
1228,1.0,1489.0,1,2
1229,1.2,105.0,221,0
1230,1.12,48.65,364,1
1231,1.05,414.3,460,1
1232,1.0,80.0,1,0
1233,1.15,125.72,277,1
1234,1.0,139.0,1,0
1235,1.0,196.0,7,0
1236,1.06,94.0,161,0
1237,1.09,41.49,587,1
1238,1.14,141.57,279,1
1239,1.0,87.5,265,1
1240,1.17,149.43,455,1
1241,1.0,82.12,199,0
1242,1.0,96.5,133,0
1243,2.13,46.3,491,1
1244,1.0,77.0,125,0
1245,1.32,73.0,577,1
1246,1.0,200.0,119,0
1247,1.0,175.45,210,0
1248,1.0,279.0,1,0
1249,1.25,72.5,24,0
1250,1.03,118.1,405,1
1251,2.0,398.0,1,0
1252,1.05,46.49,551,1
1253,1.45,134.79,550,1
1254,1.0,6735.0,1,2
1255,1.09,135.74,231,0
1256,1.0,389.67,198,0
1257,1.1,48.45,319,1
1258,1.0,9.0,1,0
1259,1.0,158.0,193,0
1260,1.06,97.57,307,1
1261,1.15,55.23,202,0
1262,1.0,92.5,68,0
1263,1.33,213.38,443,1
1264,1.0,37.0,1,0
1265,1.08,204.38,366,1
1266,1.0,1359.0,63,2
1267,1.2,304.0,272,1
1268,1.01,143.95,671,1
1269,1.0,449.78,95,0
1270,1.23,49.6,398,1
1271,1.0,136.0,1,0
1272,1.0,70.0,1,0
1273,1.4,71.6,261,0
1274,1.0,102.0,1,0
1275,1.47,122.33,91,0
1276,1.0,72.5,19,0
1277,1.0,203.0,1,0
1278,1.5,846.0,1,0
1279,1.35,72.72,519,1
1280,1.07,19.32,565,1
1281,1.04,80.71,682,1
1282,1.02,49.8,327,1
1283,1.08,31.19,692,1
1284,1.0,679.5,94,0
1285,2.0,71.0,223,0
1286,1.91,78.18,272,1
1287,1.0,14.0,1,0
1288,1.08,61.85,133,0
1289,1.0,145.0,48,0
1290,1.0,845.08,119,0
1291,1.03,79.69,504,1
1292,1.19,61.81,524,1
1293,1.69,299.0,165,0
1294,1.0,96.0,203,0
1295,1.2,125.0,188,0
1296,2.0,578.0,1,0
1297,1.08,53.97,297,1
1298,1.31,80.73,688,1
1299,1.02,64.23,574,1
1300,1.17,72.67,97,0
1301,1.0,140.0,25,0
1302,2.0,252.0,1,0
1303,1.86,125.0,250,0
1304,1.35,24.53,137,0
1305,1.0,180.34,387,1
1306,1.04,75.17,403,1
1307,1.0,165.0,120,0
1308,1.0,234.0,1,0
1309,1.02,155.3,101,0
1310,1.1,57.4,226,0
1311,1.0,59.0,1,0
1312,1.26,45.47,514,1
1313,1.15,37.9,531,1
1314,1.25,88.32,556,1
1315,1.14,126.14,550,1
1316,1.25,142.25,58,0
1317,1.0,122.38,63,0
1318,1.0,132.33,12,0
1319,1.04,92.31,215,0
1320,1.0,60.5,64,0
1321,1.0,380.0,248,0
1322,1.01,70.48,288,1
1323,1.0,291.62,117,0
1324,1.0,70.0,1,0
1325,1.08,24.44,211,0
1326,1.0,164.12,154,0
1327,1.0,29.0,1,0
1328,1.12,117.81,342,1
1329,1.0,181.52,536,1
1330,1.0,70.0,259,0
1331,1.47,429.21,399,1
1332,1.0,152.5,29,0
1333,1.0,110.0,1,0
1334,1.15,81.59,567,1
1335,1.0,380.61,141,0
1336,1.0,293.2,97,0
1337,1.0,43.0,1,0
1338,1.22,76.06,265,0
1339,1.03,168.1,336,1
1340,1.17,169.0,44,0
1341,1.0,96.33,327,1
1342,1.15,626.29,359,1
1343,1.15,92.12,278,1
1344,1.19,61.84,561,1
1345,1.3,38.89,458,1
1346,1.0,96.14,89,0
1347,2.0,38.0,1,0
1348,1.1,43.01,542,1
1349,1.04,94.13,551,1
1350,1.0,224.75,70,0
1351,1.0,68.0,246,0
1352,1.0,27.8,162,0
1353,1.08,36.17,143,0
1354,2.0,13.5,85,0
1355,1.0,112.33,112,0
1356,1.0,80.0,4,0
1357,1.38,174.38,136,0
1358,1.4,130.0,182,0
1359,1.0,126.0,1,0
1360,3.0,60.0,86,0
1361,1.04,179.48,285,1
1362,1.14,114.14,161,0
1363,1.11,169.93,560,1
1364,1.0,81.97,189,0
1365,1.0,100.0,1,0
1366,1.21,116.96,146,0
1367,1.1,68.5,113,0
1368,1.0,15.0,1,0
1369,1.1,140.6,578,1
1370,1.0,95.75,105,0
1371,1.0,126.0,50,0
1372,1.22,49.89,365,1
1373,1.02,101.59,237,0
1374,1.0,92.67,14,0
1375,1.0,74.5,113,0
1376,1.0,45.0,111,0
1377,1.37,129.29,435,1
1378,1.33,283.0,98,0
1379,1.0,335.1,421,1
1380,1.15,32.77,76,0
1381,1.0,152.0,1,0
1382,1.29,139.27,146,0
1383,1.0,119.78,156,0
1384,1.0,47.2,70,0
1385,1.0,108.02,107,0
1386,1.1,41.4,373,1
1387,2.5,65.5,85,0
1388,1.0,95.86,115,0
1389,1.0,203.4,120,0
1390,1.13,79.35,402,1
1391,1.0,144.0,258,0
1392,1.08,129.0,363,1
1393,1.0,510.25,490,1
1394,1.0,124.0,125,0
1395,1.13,70.61,406,1
1396,1.0,80.0,5,0
1397,1.0,216.64,231,0
1398,1.0,125.71,183,0
1399,1.0,118.67,427,1
1400,1.0,95.0,1,0
1401,2.5,82.5,3,0
1402,1.02,199.47,324,1
1403,1.0,129.56,332,1
1404,1.23,44.95,579,1
1405,1.14,75.57,93,0
1406,1.33,175.0,69,0
1407,2.17,71.67,330,1
1408,1.0,281.5,118,0
1409,1.21,59.47,556,1
1410,1.0,50.0,124,0
1411,1.22,82.63,164,0
1412,1.32,79.27,355,1
1413,1.0,87.5,69,0
1414,1.0,276.91,221,0
1415,1.0,328.67,146,0
1416,1.04,161.91,155,0
1417,1.02,183.58,120,0
1418,1.0,99.5,6,0
1419,3.0,831.0,1,0
1420,1.0,404.7,265,1
1421,1.0,280.0,1,0
1422,1.1,41.5,532,1
1423,1.56,186.56,428,1
1424,1.0,345.0,1,0
1425,1.0,199.18,539,1
1426,1.3,61.64,272,1
1427,1.5,99.5,13,0
1428,1.0,42.0,223,0
1429,1.06,105.19,130,0
1430,1.0,77.25,317,1
1431,1.0,120.0,1,0
1432,1.0,30.36,253,0
1433,1.86,180.86,61,0
1434,1.0,26.5,19,0
1435,1.0,14.0,39,0
1436,1.0,11.5,122,0
1437,1.0,60.0,1,0
1438,1.0,80.0,1,0
1439,1.0,1558.83,188,2
1440,1.2,84.2,105,0
1441,1.0,60.0,1,0
1442,1.0,365.0,86,0
1443,1.2,44.8,152,0
1444,1.0,29.0,167,0
1445,1.15,125.36,128,0
1446,1.12,67.5,107,0
1447,1.11,134.5,179,0
1448,1.1,88.31,522,1
1449,1.0,219.79,288,1
1450,1.0,168.0,1,0
1451,1.0,13.0,1,0
1452,2.0,174.25,69,0
1453,1.0,45.0,277,1
1454,1.0,319.2,361,1
1455,1.0,321.68,254,0
1456,1.0,80.0,199,0
1457,1.0,99.0,8,0
1458,1.36,71.6,618,1
1459,1.0,196.0,339,1
1460,1.0,133.0,1,0
1461,1.38,76.58,513,1
1462,1.0,70.0,5,0
1463,1.0,146.0,10,0
1464,1.0,154.75,143,0
1465,1.0,40.0,111,0
1466,1.09,107.13,564,1
1467,1.08,214.42,279,1
1468,1.0,344.73,221,0
1469,1.0,47.5,231,0
1470,1.0,12.78,120,0
1471,1.04,172.0,487,1
1472,1.06,92.48,483,1
1473,1.0,186.0,1,0
1474,1.0,890.75,205,0
1475,1.04,132.58,220,0
1476,1.0,91.0,193,0
1477,1.49,75.94,208,0
1478,1.0,118.0,94,0
1479,1.0,1249.0,242,2
1480,1.4,121.0,138,0
1481,1.0,1349.0,165,2
1482,1.0,55.62,157,0
1483,1.0,60.0,137,0
1484,1.0,20.0,94,0
1485,1.02,115.13,465,1
1486,1.0,108.0,96,0
1487,1.25,330.0,160,0
1488,1.09,54.7,92,0
1489,1.0,229.25,38,0
1490,1.0,170.0,435,1
1491,1.0,213.86,216,0
1492,1.2,328.77,404,1
1493,1.0,110.83,124,0
1494,2.0,332.4,255,0
1495,1.17,219.33,268,1
1496,1.17,91.67,139,0
1497,1.09,145.77,142,0
1498,1.25,61.75,144,0
1499,1.0,140.0,1,0
1500,1.0,60.25,98,0
1501,1.0,30.0,1,0
1502,1.09,34.13,317,1
1503,1.0,27.67,62,0
1504,1.1,249.52,121,0
1505,1.0,204.0,1,0
1506,1.0,26.0,169,0
1507,1.0,129.5,281,1
1508,1.03,193.23,561,1
1509,1.0,50.0,1,0
1510,1.0,630.0,386,1
1511,1.33,99.0,25,0
1512,1.0,199.0,1,0
1513,1.0,125.0,20,0
1514,2.09,188.45,291,1
1515,1.15,65.31,546,1
1516,1.0,282.91,282,1
1517,1.11,18.56,99,0
1518,1.07,140.55,474,1
1519,1.84,91.82,403,1
1520,1.55,126.07,336,1
1521,1.0,68.6,284,1
1522,1.0,346.94,340,1
1523,1.0,49.0,1,0
1524,1.3,81.65,163,0
1525,1.17,90.83,98,0
1526,1.0,192.0,166,0
1527,1.33,53.0,174,0
1528,1.0,112.5,3,0
1529,1.12,117.19,107,0
1530,1.0,1600.0,169,2
1531,1.0,223.67,89,0
1532,1.0,220.0,1,0
1533,1.0,71.83,321,1
1534,1.86,33.86,102,0
1535,1.08,66.67,128,0
1536,1.21,51.95,240,0
1537,1.0,112.0,16,0
1538,3.67,128.0,248,0
1539,1.04,104.83,688,1
1540,1.42,193.83,200,0
1541,1.0,200.0,1,0
1542,1.18,132.77,515,1
1543,1.12,63.81,457,1
1544,1.25,303.0,158,0
1545,1.16,109.59,440,1
1546,1.1,511.49,465,1
1547,1.33,100.67,396,1
1548,1.0,231.0,57,0
1549,1.0,99.0,1,0
1550,1.04,453.39,509,1
1551,1.0,24.2,259,0
1552,1.64,64.86,178,0
1553,1.0,447.0,651,1
1554,1.0,1010.57,92,0
1555,1.0,3000.0,123,2
1556,1.33,93.5,27,0
1557,1.0,458.0,1,0
1558,1.86,245.0,198,0
1559,1.0,60.0,1,0
1560,1.0,1999.0,1,2
1561,1.11,315.56,166,0
1562,1.0,559.5,235,0
1563,1.0,180.0,1,0
1564,1.0,51.5,92,0
1565,1.0,230.0,11,0
1566,1.33,361.67,103,0
1567,1.14,45.5,686,1
1568,1.08,208.15,430,1
1569,1.12,156.13,578,1
1570,1.0,60.78,69,0
1571,1.0,138.0,21,0
1572,1.0,25.0,62,0
1573,1.0,129.0,1,0
1574,1.0,25.56,103,0
1575,1.12,257.0,47,0
1576,1.08,239.17,370,1
1577,1.17,133.45,163,0
1578,1.5,160.57,432,1
1579,1.0,100.25,200,0
1580,1.05,134.22,393,1
1581,1.0,120.43,173,0
1582,1.02,301.1,483,1
1583,1.07,374.6,671,1
1584,1.75,52.5,184,0
1585,1.5,82.5,116,0
1586,1.07,147.2,214,0
1587,1.03,243.49,445,1
1588,1.0,50.0,1,0
1589,1.36,79.52,533,1
1590,1.0,48.0,1,0
1591,1.94,61.75,507,1
1592,1.18,65.47,162,0
1593,1.0,207.61,197,0
1594,1.22,147.66,131,0
1595,2.25,22.5,319,1
1596,2.2,168.4,73,0
1597,1.11,223.44,99,0
1598,1.86,92.43,222,0
1599,1.5,29.0,122,0
1600,1.33,53.0,79,0
1601,1.0,77.33,219,0
1602,1.0,42.0,1,0
1603,1.54,264.78,244,0
1604,1.0,170.0,32,0
1605,1.14,205.57,146,0
1606,1.43,85.81,136,0
1607,1.67,111.0,49,0
1608,1.11,52.42,588,1
1609,1.0,308.33,223,0
1610,1.0,88.86,252,0
1611,2.18,60.65,326,1
1612,1.25,278.75,136,0
1613,1.5,1529.0,569,2
1614,1.04,269.89,552,1
1615,1.0,203.23,128,0
1616,1.33,218.0,197,0
1617,1.0,38.55,447,1
1618,1.0,560.43,502,1
1619,1.0,218.0,97,0
1620,1.0,97.0,1,0
1621,1.0,142.0,1,0
1622,1.27,72.5,168,0
1623,1.06,49.44,205,0
1624,1.12,91.12,53,0
1625,1.0,53.5,119,0
1626,1.0,37.5,162,0
1627,1.05,26.52,372,1
1628,1.0,120.0,1,0
1629,1.1,66.48,559,1
1630,1.0,123.33,371,1
1631,1.0,329.0,1,0
1632,1.02,112.46,349,1
1633,3.0,135.0,51,0
1634,1.0,334.71,545,1
1635,1.0,225.25,116,0
1636,1.26,38.97,132,0
1637,1.09,1297.85,179,2
1638,1.0,46.67,90,0
1639,1.0,133.0,81,0
1640,1.0,201.68,60,0
1641,1.0,628.0,57,0
1642,1.08,60.54,88,0
1643,1.0,233.43,352,1
1644,1.09,112.55,324,1
1645,1.15,190.08,340,1
1646,1.15,33.8,290,1
1647,1.27,115.82,127,0
1648,1.08,92.25,300,1
1649,1.04,63.79,484,1
1650,1.0,152.56,100,0
1651,1.0,150.0,1,0
1652,1.0,589.92,137,0
1653,1.17,492.67,663,1
1654,1.03,329.61,668,1
1655,1.17,123.83,159,0
1656,1.0,131.29,134,0
1657,3.0,199.5,29,0
1658,1.0,20.0,1,0
1659,1.0,13.0,1,0
1660,1.07,118.33,560,1
